Measure Name,Year,Period,Value
Crime Number of Auto Thefts ,2019,Nov,483
Crime Number of Auto Thefts ,2019,Dec,439
Crime Number of Auto Thefts ,2020,Jan,446
Crime Number of Auto Thefts ,2020,Feb,398
Crime Number of Auto Thefts ,2020,Mar,441
Crime Number of Auto Thefts ,2020,Apr,458
Crime Number of Auto Thefts ,2020,May,450
Crime Number of Auto Thefts ,2020,Jun,478
Crime Number of Thefts Over $5000 ,2009,Jan,61
Crime Number of Thefts Over $5000 ,2009,Feb,49
Crime Number of Thefts Over $5000 ,2009,Mar,86
Crime Number of Thefts Over $5000 ,2009,Apr,75
Crime Number of Thefts Over $5000 ,2009,May,75
Crime Number of Thefts Over $5000 ,2009,Jun,81
Crime Number of Thefts Over $5000 ,2009,Jul,109
Crime Number of Thefts Over $5000 ,2009,Aug,90
Crime Number of Thefts Over $5000 ,2009,Sep,98
Crime Number of Thefts Over $5000 ,2009,Oct,87
Crime Number of Thefts Over $5000 ,2009,Nov,70
Crime Number of Thefts Over $5000 ,2009,Dec,68
Crime Number of Thefts Over $5000 ,2010,Jan,72
Crime Number of Thefts Over $5000 ,2010,Feb,76
Crime Number of Thefts Over $5000 ,2010,Mar,76
Crime Number of Thefts Over $5000 ,2010,Apr,62
Crime Number of Thefts Over $5000 ,2010,May,81
Crime Number of Thefts Over $5000 ,2010,Jun,63
Crime Number of Thefts Over $5000 ,2010,Jul,76
Crime Number of Thefts Over $5000 ,2010,Aug,76
Crime Number of Thefts Over $5000 ,2010,Sep,91
Crime Number of Thefts Over $5000 ,2010,Oct,80
Crime Number of Thefts Over $5000 ,2010,Nov,80
Crime Number of Thefts Over $5000 ,2010,Dec,55
Crime Number of Thefts Over $5000 ,2011,Jan,55
Crime Number of Thefts Over $5000 ,2011,Feb,41
Crime Number of Thefts Over $5000 ,2011,Mar,70
Crime Number of Thefts Over $5000 ,2011,Apr,75
Crime Number of Thefts Over $5000 ,2011,May,67
Crime Number of Thefts Over $5000 ,2011,Jun,72
Crime Number of Thefts Over $5000 ,2011,Jul,72
Crime Number of Thefts Over $5000 ,2011,Aug,73
Crime Number of Thefts Over $5000 ,2011,Sep,75
Crime Number of Thefts Over $5000 ,2011,Oct,82
Crime Number of Thefts Over $5000 ,2011,Nov,68
Crime Number of Thefts Over $5000 ,2011,Dec,77
Crime Number of Thefts Over $5000 ,2012,Jan,83
Crime Number of Thefts Over $5000 ,2012,Feb,90
Crime Number of Thefts Over $5000 ,2012,Mar,101
Crime Number of Thefts Over $5000 ,2012,Apr,64
Crime Number of Thefts Over $5000 ,2012,May,81
Crime Number of Thefts Over $5000 ,2012,Jun,70
Crime Number of Thefts Over $5000 ,2012,Jul,91
Crime Number of Thefts Over $5000 ,2012,Aug,90
Crime Number of Thefts Over $5000 ,2012,Sep,94
Crime Number of Thefts Over $5000 ,2012,Oct,78
Crime Number of Thefts Over $5000 ,2012,Nov,67
Crime Number of Thefts Over $5000 ,2012,Dec,59
Crime Number of Thefts Over $5000 ,2013,Jan,86
Crime Number of Thefts Over $5000 ,2013,Feb,65
Crime Number of Thefts Over $5000 ,2013,Mar,84
Crime Number of Thefts Over $5000 ,2013,Apr,75
Crime Number of Thefts Over $5000 ,2013,May,84
Crime Number of Thefts Over $5000 ,2013,Jun,95
Crime Number of Thefts Over $5000 ,2013,Jul,102
Crime Number of Thefts Over $5000 ,2013,Aug,87
Crime Number of Thefts Over $5000 ,2013,Sep,75
Crime Number of Thefts Over $5000 ,2013,Oct,89
Crime Number of Thefts Over $5000 ,2013,Nov,100
Crime Number of Thefts Over $5000 ,2013,Dec,67
Crime Number of Thefts Over $5000 ,2014,Jan,79
Crime Number of Thefts Over $5000 ,2014,Feb,68
Crime Number of Thefts Over $5000 ,2014,Mar,59
Crime Number of Thefts Over $5000 ,2014,Apr,79
Crime Number of Thefts Over $5000 ,2014,May,94
Crime Number of Thefts Over $5000 ,2014,Jun,74
Crime Number of Thefts Over $5000 ,2014,Jul,95
Crime Number of Thefts Over $5000 ,2014,Aug,92
Crime Number of Thefts Over $5000 ,2014,Sep,70
Crime Number of Thefts Over $5000 ,2014,Oct,93
Crime Number of Thefts Over $5000 ,2014,Nov,105
Crime Number of Thefts Over $5000 ,2014,Dec,95
Crime Number of Thefts Over $5000 ,2015,Jan,64
Crime Number of Thefts Over $5000 ,2015,Feb,55
Crime Number of Thefts Over $5000 ,2015,Mar,85
Crime Number of Thefts Over $5000 ,2015,Apr,76
Crime Number of Thefts Over $5000 ,2015,May,102
Crime Number of Thefts Over $5000 ,2015,Jun,100
Crime Number of Thefts Over $5000 ,2015,Jul,101
Crime Number of Thefts Over $5000 ,2015,Aug,102
Crime Number of Thefts Over $5000 ,2015,Sep,99
Crime Number of Thefts Over $5000 ,2015,Oct,99
Crime Number of Thefts Over $5000 ,2015,Nov,81
Crime Number of Thefts Over $5000 ,2015,Dec,79
Crime Number of Thefts Over $5000 ,2016,Jan,73
Crime Number of Thefts Over $5000 ,2016,Feb,79
Crime Number of Thefts Over $5000 ,2016,Mar,87
Crime Number of Thefts Over $5000 ,2016,Apr,85
Crime Number of Thefts Over $5000 ,2016,May,99
Crime Number of Thefts Over $5000 ,2016,Jun,94
Crime Number of Thefts Over $5000 ,2016,Jul,81
Crime Number of Thefts Over $5000 ,2016,Aug,79
Crime Number of Thefts Over $5000 ,2016,Sep,99
Crime Number of Thefts Over $5000 ,2016,Oct,82
Crime Number of Thefts Over $5000 ,2016,Nov,109
Crime Number of Thefts Over $5000 ,2016,Dec,81
Crime Number of Thefts Over $5000 ,2017,Jan,94
Crime Number of Thefts Over $5000 ,2017,Feb,69
Crime Number of Thefts Over $5000 ,2017,Mar,97
Crime Number of Thefts Over $5000 ,2017,Apr,89
Crime Number of Thefts Over $5000 ,2017,May,105
Crime Number of Thefts Over $5000 ,2017,Jun,92
Crime Number of Thefts Over $5000 ,2017,Jul,91
Crime Number of Thefts Over $5000 ,2017,Aug,117
Crime Number of Thefts Over $5000 ,2017,Sep,128
Crime Number of Thefts Over $5000 ,2017,Oct,119
Crime Number of Thefts Over $5000 ,2017,Nov,90
Crime Number of Thefts Over $5000 ,2017,Dec,93
Crime Number of Thefts Over $5000 ,2018,Jan,94
Crime Number of Thefts Over $5000 ,2018,Feb,88
Crime Number of Thefts Over $5000 ,2018,Mar,104
Crime Number of Thefts Over $5000 ,2018,Apr,110
Crime Number of Thefts Over $5000 ,2018,May,104
Crime Number of Thefts Over $5000 ,2018,Jun,87
Crime Number of Thefts Over $5000 ,2018,Jul,114
Crime Number of Thefts Over $5000 ,2018,Aug,115
Crime Number of Thefts Over $5000 ,2018,Sep,108
Crime Number of Thefts Over $5000 ,2018,Oct,102
Crime Number of Thefts Over $5000 ,2018,Nov,108
Crime Number of Thefts Over $5000 ,2018,Dec,121
Crime Number of Thefts Over $5000 ,2019,Jan,110
Crime Number of Thefts Over $5000 ,2019,Feb,72
Crime Number of Thefts Over $5000 ,2019,Mar,107
Crime Number of Thefts Over $5000 ,2019,Apr,118
Crime Number of Thefts Over $5000 ,2019,May,123
Crime Number of Thefts Over $5000 ,2019,Jun,119
Crime Number of Thefts Over $5000 ,2019,Jul,137
Crime Number of Thefts Over $5000 ,2019,Aug,124
Crime Number of Thefts Over $5000 ,2019,Sep,122
Crime Number of Thefts Over $5000 ,2019,Oct,143
Crime Number of Thefts Over $5000 ,2019,Nov,111
Crime Number of Thefts Over $5000 ,2019,Dec,108
Crime Number of Thefts Over $5000 ,2020,Jan,125
Crime Number of Thefts Over $5000 ,2020,Feb,110
Crime Number of Thefts Over $5000 ,2020,Mar,89
Crime Number of Thefts Over $5000 ,2020,Apr,80
Crime Number of Thefts Over $5000 ,2020,May,76
Crime Number of Thefts Over $5000 ,2020,Jun,92
Community Planning Number of Applications ,2007,Q1,131
Community Planning Number of Applications ,2007,Q2,163
Community Planning Number of Applications ,2007,Q3,145
Community Planning Number of Applications ,2007,Q4,201
Community Planning Number of Applications ,2008,Q1,127
Community Planning Number of Applications ,2008,Q2,166
Community Planning Number of Applications ,2008,Q3,152
Community Planning Number of Applications ,2008,Q4,189
Community Planning Number of Applications ,2009,Q1,140
Community Planning Number of Applications ,2009,Q2,120
Community Planning Number of Applications ,2009,Q3,116
Community Planning Number of Applications ,2009,Q4,169
Community Planning Number of Applications ,2010,Q1,184
Community Planning Number of Applications ,2010,Q2,186
Community Planning Number of Applications ,2010,Q3,151
Community Planning Number of Applications ,2010,Q4,136
Community Planning Number of Applications ,2011,Q1,173
Community Planning Number of Applications ,2011,Q2,153
Community Planning Number of Applications ,2011,Q3,170
Community Planning Number of Applications ,2011,Q4,220
Community Planning Number of Applications ,2012,Q1,228
Community Planning Number of Applications ,2012,Q2,130
Community Planning Number of Applications ,2012,Q3,115
Community Planning Number of Applications ,2012,Q4,144
Community Planning Number of Applications ,2013,Q1,148
Community Planning Number of Applications ,2013,Q2,155
Community Planning Number of Applications ,2013,Q3,140
Community Planning Number of Applications ,2013,Q4,165
Community Planning Number of Applications ,2014,Q1,126
Community Planning Number of Applications ,2014,Q2,156
Community Planning Number of Applications ,2014,Q3,112
Community Planning Number of Applications ,2014,Q4,128
Community Planning Number of Applications ,2015,Q1,92
Community Planning Number of Applications ,2015,Q2,133
Community Planning Number of Applications ,2015,Q3,157
Community Planning Number of Applications ,2015,Q4,160
Community Planning Number of Applications ,2016,Q1,129
Community Planning Number of Applications ,2016,Q2,136
Community Planning Number of Applications ,2016,Q3,116
Community Planning Number of Applications ,2016,Q4,215
Community Planning Number of Applications ,2017,Q1,82
Community Planning Number of Applications ,2017,Q2,111
Community Planning Number of Applications ,2017,Q3,118
Community Planning Number of Applications ,2017,Q4,164
Community Planning Number of Applications ,2018,Q1,100
Community Planning Number of Applications ,2018,Q2,145
Community Planning Number of Applications ,2018,Q3,104
Community Planning Number of Applications ,2018,Q4,129
Community Planning Number of Applications ,2019,Q1,100
Community Planning Number of Applications ,2019,Q2,88
Community Planning Number of Applications ,2019,Q3,141
Community Planning Number of Applications ,2019,Q4,226
Committee of Adjustment Number of Applications ,2007,Q1,872
Committee of Adjustment Number of Applications ,2007,Q2,908
Committee of Adjustment Number of Applications ,2007,Q3,777
Committee of Adjustment Number of Applications ,2007,Q4,730
Committee of Adjustment Number of Applications ,2008,Q1,926
Committee of Adjustment Number of Applications ,2008,Q2,832
Committee of Adjustment Number of Applications ,2008,Q3,664
Committee of Adjustment Number of Applications ,2008,Q4,533
Committee of Adjustment Number of Applications ,2009,Q1,557
Committee of Adjustment Number of Applications ,2009,Q2,608
Committee of Adjustment Number of Applications ,2009,Q3,496
Committee of Adjustment Number of Applications ,2009,Q4,680
Committee of Adjustment Number of Applications ,2010,Q1,852
Committee of Adjustment Number of Applications ,2010,Q2,846
Committee of Adjustment Number of Applications ,2010,Q3,576
Committee of Adjustment Number of Applications ,2010,Q4,635
Committee of Adjustment Number of Applications ,2011,Q1,839
Committee of Adjustment Number of Applications ,2011,Q2,928
Committee of Adjustment Number of Applications ,2011,Q3,753
Committee of Adjustment Number of Applications ,2011,Q4,801
Committee of Adjustment Number of Applications ,2012,Q1,975
Committee of Adjustment Number of Applications ,2012,Q2,800
Committee of Adjustment Number of Applications ,2012,Q3,765
Committee of Adjustment Number of Applications ,2012,Q4,720
Committee of Adjustment Number of Applications ,2013,Q1,799
Committee of Adjustment Number of Applications ,2013,Q2,874
Committee of Adjustment Number of Applications ,2013,Q3,712
Committee of Adjustment Number of Applications ,2013,Q4,774
Committee of Adjustment Number of Applications ,2014,Q1,1020
Committee of Adjustment Number of Applications ,2014,Q2,984
Committee of Adjustment Number of Applications ,2014,Q3,895
Committee of Adjustment Number of Applications ,2014,Q4,887
Committee of Adjustment Number of Applications ,2015,Q1,1070
Committee of Adjustment Number of Applications ,2015,Q2,1016
Committee of Adjustment Number of Applications ,2015,Q3,931
Committee of Adjustment Number of Applications ,2015,Q4,963
Committee of Adjustment Number of Applications ,2016,Q1,1107
Committee of Adjustment Number of Applications ,2016,Q2,1132
Committee of Adjustment Number of Applications ,2016,Q3,896
Committee of Adjustment Number of Applications ,2016,Q4,1058
Committee of Adjustment Number of Applications ,2017,Q1,1217
Committee of Adjustment Number of Applications ,2017,Q2,1220
Committee of Adjustment Number of Applications ,2017,Q3,1017
Committee of Adjustment Number of Applications ,2017,Q4,1121
Committee of Adjustment Number of Applications ,2018,Q1,1083
Committee of Adjustment Number of Applications ,2018,Q2,986
Committee of Adjustment Number of Applications ,2018,Q3,830
Committee of Adjustment Number of Applications ,2018,Q4,891
Committee of Adjustment Number of Applications ,2019,Q1,882
Committee of Adjustment Number of Applications ,2019,Q2,984
Committee of Adjustment Number of Applications ,2019,Q3,769
Committee of Adjustment Number of Applications ,2019,Q4,913
Construction Value of Building Permits Issued (All Types),2007,Jan,249400000
Construction Value of Building Permits Issued (All Types),2007,Feb,267600000
Construction Value of Building Permits Issued (All Types),2007,Mar,318900000
Construction Value of Building Permits Issued (All Types),2007,Apr,334300000
Construction Value of Building Permits Issued (All Types),2007,May,245600000
Construction Value of Building Permits Issued (All Types),2007,Jun,348000000
Construction Value of Building Permits Issued (All Types),2007,Jul,334100000
Construction Value of Building Permits Issued (All Types),2007,Aug,334100000
Construction Value of Building Permits Issued (All Types),2007,Sep,561600000
Construction Value of Building Permits Issued (All Types),2007,Oct,448500000
Construction Value of Building Permits Issued (All Types),2007,Nov,360100000
Construction Value of Building Permits Issued (All Types),2007,Dec,399400000
Construction Value of Building Permits Issued (All Types),2008,Jan,1069000000
Construction Value of Building Permits Issued (All Types),2008,Feb,364700000
Construction Value of Building Permits Issued (All Types),2008,Mar,268400000
Construction Value of Building Permits Issued (All Types),2008,Apr,762500000
Construction Value of Building Permits Issued (All Types),2008,May,370600000
Construction Value of Building Permits Issued (All Types),2008,Jun,529200000
Construction Value of Building Permits Issued (All Types),2008,Jul,464600000
Construction Value of Building Permits Issued (All Types),2008,Aug,464600000
Construction Value of Building Permits Issued (All Types),2008,Sep,673600000
Construction Value of Building Permits Issued (All Types),2008,Oct,396000000
Construction Value of Building Permits Issued (All Types),2008,Nov,298800000
Construction Value of Building Permits Issued (All Types),2008,Dec,709700000
Construction Value of Building Permits Issued (All Types),2009,Jan,305100000
Construction Value of Building Permits Issued (All Types),2009,Feb,300600000
Construction Value of Building Permits Issued (All Types),2009,Mar,794500000
Construction Value of Building Permits Issued (All Types),2009,Apr,405700000
Construction Value of Building Permits Issued (All Types),2009,May,686400000
Construction Value of Building Permits Issued (All Types),2009,Jun,605600000
Construction Value of Building Permits Issued (All Types),2009,Jul,28000000
Construction Value of Building Permits Issued (All Types),2009,Aug,356400000
Construction Value of Building Permits Issued (All Types),2009,Sep,273400000
Construction Value of Building Permits Issued (All Types),2009,Oct,505500000
Construction Value of Building Permits Issued (All Types),2009,Nov,432600000
Construction Value of Building Permits Issued (All Types),2009,Dec,737700000
Construction Value of Building Permits Issued (All Types),2010,Jan,677500000
Construction Value of Building Permits Issued (All Types),2010,Feb,341200000
Construction Value of Building Permits Issued (All Types),2010,Mar,486900000
Construction Value of Building Permits Issued (All Types),2010,Apr,763000000
Construction Value of Building Permits Issued (All Types),2010,May,754100000
Construction Value of Building Permits Issued (All Types),2010,Jun,516600000
Construction Value of Building Permits Issued (All Types),2010,Jul,482000000
Construction Value of Building Permits Issued (All Types),2010,Aug,628200000
Construction Value of Building Permits Issued (All Types),2010,Sep,563400000
Construction Value of Building Permits Issued (All Types),2010,Oct,590200000
Construction Value of Building Permits Issued (All Types),2010,Nov,436541000
Construction Value of Building Permits Issued (All Types),2010,Dec,708600000
Construction Value of Building Permits Issued (All Types),2011,Jan,334378000
Construction Value of Building Permits Issued (All Types),2011,Feb,610646000
Construction Value of Building Permits Issued (All Types),2011,Mar,1678477000
Construction Value of Building Permits Issued (All Types),2011,Apr,491556000
Construction Value of Building Permits Issued (All Types),2011,May,670457000
Construction Value of Building Permits Issued (All Types),2011,Jun,442328000
Construction Value of Building Permits Issued (All Types),2011,Jul,560400000
Construction Value of Building Permits Issued (All Types),2011,Aug,352800000
Construction Value of Building Permits Issued (All Types),2011,Sep,378500000
Construction Value of Building Permits Issued (All Types),2011,Oct,721100000
Construction Value of Building Permits Issued (All Types),2011,Nov,534600000
Construction Value of Building Permits Issued (All Types),2011,Dec,874300000
Construction Value of Building Permits Issued (All Types),2012,Jan,619400000
Construction Value of Building Permits Issued (All Types),2012,Feb,696500000
Construction Value of Building Permits Issued (All Types),2012,Mar,871400000
Construction Value of Building Permits Issued (All Types),2012,Apr,495900000
Construction Value of Building Permits Issued (All Types),2012,May,399200000
Construction Value of Building Permits Issued (All Types),2012,Jun,514200000
Construction Value of Building Permits Issued (All Types),2012,Jul,572500000
Construction Value of Building Permits Issued (All Types),2012,Aug,396100000
Construction Value of Building Permits Issued (All Types),2012,Sep,389900000
Construction Value of Building Permits Issued (All Types),2012,Oct,919900000
Construction Value of Building Permits Issued (All Types),2012,Nov,447600000
Construction Value of Building Permits Issued (All Types),2012,Dec,189800000
Construction Value of Building Permits Issued (All Types),2013,Jan,517600000
Construction Value of Building Permits Issued (All Types),2013,Feb,343600000
Construction Value of Building Permits Issued (All Types),2013,Mar,869400000
Construction Value of Building Permits Issued (All Types),2013,Apr,908700000
Construction Value of Building Permits Issued (All Types),2013,May,949400000
Construction Value of Building Permits Issued (All Types),2013,Jun,733900000
Construction Value of Building Permits Issued (All Types),2013,Jul,907400000
Construction Value of Building Permits Issued (All Types),2013,Aug,703900000
Construction Value of Building Permits Issued (All Types),2013,Sep,663900000
Construction Value of Building Permits Issued (All Types),2013,Oct,862700000
Construction Value of Building Permits Issued (All Types),2013,Nov,929000000
Construction Value of Building Permits Issued (All Types),2013,Dec,300000000
Construction Value of Building Permits Issued (All Types),2014,Jan,717400000
Construction Value of Building Permits Issued (All Types),2014,Feb,569600000
Construction Value of Building Permits Issued (All Types),2014,Mar,999800000
Construction Value of Building Permits Issued (All Types),2014,Apr,531500000
Construction Value of Building Permits Issued (All Types),2014,May,584100000
Construction Value of Building Permits Issued (All Types),2014,Jun,521200000
Construction Value of Building Permits Issued (All Types),2014,Jul,845900000
Construction Value of Building Permits Issued (All Types),2014,Aug,346500000
Construction Value of Building Permits Issued (All Types),2014,Sep,592800000
Construction Value of Building Permits Issued (All Types),2014,Oct,326200000
Construction Value of Building Permits Issued (All Types),2014,Nov,681600000
Construction Value of Building Permits Issued (All Types),2014,Dec,750200000
Construction Value of Building Permits Issued (All Types),2015,Jan,454500000
Construction Value of Building Permits Issued (All Types),2015,Feb,313300000
Construction Value of Building Permits Issued (All Types),2015,Mar,563100000
Construction Value of Building Permits Issued (All Types),2015,Apr,1689900000
Construction Value of Building Permits Issued (All Types),2015,May,466500000
Construction Value of Building Permits Issued (All Types),2015,Jun,530400000
Construction Value of Building Permits Issued (All Types),2015,Jul,488100000
Construction Value of Building Permits Issued (All Types),2015,Aug,1040300000
Construction Value of Building Permits Issued (All Types),2015,Sep,625000000
Construction Value of Building Permits Issued (All Types),2015,Oct,668400000
Construction Value of Building Permits Issued (All Types),2015,Nov,469700000
Construction Value of Building Permits Issued (All Types),2015,Dec,724100000
Construction Value of Building Permits Issued (All Types),2016,Jan,437700000
Construction Value of Building Permits Issued (All Types),2016,Feb,453800000
Construction Value of Building Permits Issued (All Types),2016,Mar,506900000
Construction Value of Building Permits Issued (All Types),2016,Apr,533600000
Construction Value of Building Permits Issued (All Types),2016,May,421200000
Construction Value of Building Permits Issued (All Types),2016,Jun,588200000
Construction Value of Building Permits Issued (All Types),2016,Jul,432500000
Construction Value of Building Permits Issued (All Types),2016,Aug,1276500000
Construction Value of Building Permits Issued (All Types),2016,Sep,430000000
Construction Value of Building Permits Issued (All Types),2016,Oct,724000000
Construction Value of Building Permits Issued (All Types),2016,Nov,496000000
Construction Value of Building Permits Issued (All Types),2016,Dec,731000000
Construction Value of Building Permits Issued (All Types),2017,Jan,568343676
Construction Value of Building Permits Issued (All Types),2017,Feb,336323958
Construction Value of Building Permits Issued (All Types),2017,Mar,772018656
Construction Value of Building Permits Issued (All Types),2017,Apr,1015882305
Construction Value of Building Permits Issued (All Types),2017,May,936870801
Construction Value of Building Permits Issued (All Types),2017,Jun,1262728643
Construction Value of Building Permits Issued (All Types),2017,Jul,1742356331
Construction Value of Building Permits Issued (All Types),2017,Aug,754297169
Construction Value of Building Permits Issued (All Types),2017,Sep,769574408
Construction Value of Building Permits Issued (All Types),2017,Oct,883169947
Construction Value of Building Permits Issued (All Types),2017,Nov,733914271
Construction Value of Building Permits Issued (All Types),2017,Dec,805526113
Construction Value of Building Permits Issued (All Types),2018,Jan,982859107
Construction Value of Building Permits Issued (All Types),2018,Feb,574351052
Construction Value of Building Permits Issued (All Types),2018,Mar,1051572705
Construction Value of Building Permits Issued (All Types),2018,Apr,618378176
Construction Value of Building Permits Issued (All Types),2018,May,1073624319
Construction Value of Building Permits Issued (All Types),2018,Jun,998620797
Construction Value of Building Permits Issued (All Types),2018,Jul,945340609
Construction Value of Building Permits Issued (All Types),2018,Aug,743603512
Construction Value of Building Permits Issued (All Types),2018,Sep,914864729
Construction Value of Building Permits Issued (All Types),2018,Oct,1946002355
Construction Value of Building Permits Issued (All Types),2018,Nov,852154345.2
Construction Value of Building Permits Issued (All Types),2018,Dec,1136772952
Construction Value of Building Permits Issued (All Types),2019,Jan,771502108
Construction Value of Building Permits Issued (All Types),2019,Feb,653018369
Construction Value of Building Permits Issued (All Types),2019,Mar,809987734
Construction Value of Building Permits Issued (All Types),2019,Apr,635313793
Construction Value of Building Permits Issued (All Types),2019,May,1200466289
Construction Value of Building Permits Issued (All Types),2019,Jun,768256864
Construction Value of Building Permits Issued (All Types),2019,Jul,968123292
Construction Value of Building Permits Issued (All Types),2019,Aug,1338005735
Construction Value of Building Permits Issued (All Types),2019,Sep,706469206
Construction Value of Building Permits Issued (All Types),2019,Oct,1098536564
Construction Value of Building Permits Issued (All Types),2019,Nov,536989231
Construction Value of Building Permits Issued (All Types),2019,Dec,1366911960
Construction Value of Building Applications Received (All Types),2007,Jan,206900000
Construction Value of Building Applications Received (All Types),2007,Feb,267700000
Construction Value of Building Applications Received (All Types),2007,Mar,946500000
Construction Value of Building Applications Received (All Types),2007,Apr,388800000
Construction Value of Building Applications Received (All Types),2007,May,561500000
Construction Value of Building Applications Received (All Types),2007,Jun,1003200000
Construction Value of Building Applications Received (All Types),2007,Jul,378700000
Construction Value of Building Applications Received (All Types),2007,Aug,479200000
Construction Value of Building Applications Received (All Types),2007,Sep,586000000
Construction Value of Building Applications Received (All Types),2007,Oct,339600000
Construction Value of Building Applications Received (All Types),2007,Nov,491800000
Construction Value of Building Applications Received (All Types),2007,Dec,927700000
Construction Value of Building Applications Received (All Types),2008,Jan,243800000
Construction Value of Building Applications Received (All Types),2008,Feb,364800000
Construction Value of Building Applications Received (All Types),2008,Mar,664700000
Construction Value of Building Applications Received (All Types),2008,Apr,518400000
Construction Value of Building Applications Received (All Types),2008,May,627100000
Construction Value of Building Applications Received (All Types),2008,Jun,722000000
Construction Value of Building Applications Received (All Types),2008,Jul,692900000
Construction Value of Building Applications Received (All Types),2008,Aug,631700000
Construction Value of Building Applications Received (All Types),2008,Sep,480700000
Construction Value of Building Applications Received (All Types),2008,Oct,301100000
Construction Value of Building Applications Received (All Types),2008,Nov,410400000
Construction Value of Building Applications Received (All Types),2008,Dec,235400000
Construction Value of Building Applications Received (All Types),2009,Jan,173800000
Construction Value of Building Applications Received (All Types),2009,Feb,219776000
Construction Value of Building Applications Received (All Types),2009,Mar,209300000
Construction Value of Building Applications Received (All Types),2009,Apr,328200000
Construction Value of Building Applications Received (All Types),2009,May,239200000
Construction Value of Building Applications Received (All Types),2009,Jun,330300000
Construction Value of Building Applications Received (All Types),2009,Jul,43000000
Construction Value of Building Applications Received (All Types),2009,Aug,542300000
Construction Value of Building Applications Received (All Types),2009,Sep,578200000
Construction Value of Building Applications Received (All Types),2009,Oct,1014100000
Construction Value of Building Applications Received (All Types),2009,Nov,380800000
Construction Value of Building Applications Received (All Types),2009,Dec,1586600000
Construction Value of Building Applications Received (All Types),2010,Jan,704200000
Construction Value of Building Applications Received (All Types),2010,Feb,711800000
Construction Value of Building Applications Received (All Types),2010,Mar,1910500000
Construction Value of Building Applications Received (All Types),2010,Apr,841000000
Construction Value of Building Applications Received (All Types),2010,May,887900000
Construction Value of Building Applications Received (All Types),2010,Jun,638400000
Construction Value of Building Applications Received (All Types),2010,Jul,991900000
Construction Value of Building Applications Received (All Types),2010,Aug,731000000
Construction Value of Building Applications Received (All Types),2010,Sep,791800000
Construction Value of Building Applications Received (All Types),2010,Oct,274400000
Construction Value of Building Applications Received (All Types),2010,Nov,814337000
Construction Value of Building Applications Received (All Types),2010,Dec,615900000
Construction Value of Building Applications Received (All Types),2011,Jan,479621000
Construction Value of Building Applications Received (All Types),2011,Feb,238333000
Construction Value of Building Applications Received (All Types),2011,Mar,659155000
Construction Value of Building Applications Received (All Types),2011,Apr,259445000
Construction Value of Building Applications Received (All Types),2011,May,566276000
Construction Value of Building Applications Received (All Types),2011,Jun,604359000
Construction Value of Building Applications Received (All Types),2011,Jul,648500000
Construction Value of Building Applications Received (All Types),2011,Aug,494800000
Construction Value of Building Applications Received (All Types),2011,Sep,774500000
Construction Value of Building Applications Received (All Types),2011,Oct,722000000
Construction Value of Building Applications Received (All Types),2011,Nov,491400000
Construction Value of Building Applications Received (All Types),2011,Dec,2107300000
Construction Value of Building Applications Received (All Types),2012,Jan,594700000
Construction Value of Building Applications Received (All Types),2012,Feb,1168400000
Construction Value of Building Applications Received (All Types),2012,Mar,425500000
Construction Value of Building Applications Received (All Types),2012,Apr,274500000
Construction Value of Building Applications Received (All Types),2012,May,747100000
Construction Value of Building Applications Received (All Types),2012,Jun,898300000
Construction Value of Building Applications Received (All Types),2012,Jul,707300000
Construction Value of Building Applications Received (All Types),2012,Aug,922600000
Construction Value of Building Applications Received (All Types),2012,Sep,729700000
Construction Value of Building Applications Received (All Types),2012,Oct,560400000
Construction Value of Building Applications Received (All Types),2012,Nov,536500000
Construction Value of Building Applications Received (All Types),2012,Dec,984100000
Construction Value of Building Applications Received (All Types),2013,Jan,604200000
Construction Value of Building Applications Received (All Types),2013,Feb,982600000
Construction Value of Building Applications Received (All Types),2013,Mar,716800000
Construction Value of Building Applications Received (All Types),2013,Apr,667200000
Construction Value of Building Applications Received (All Types),2013,May,842700000
Construction Value of Building Applications Received (All Types),2013,Jun,755000000
Construction Value of Building Applications Received (All Types),2013,Jul,431300000
Construction Value of Building Applications Received (All Types),2013,Aug,609900000
Construction Value of Building Applications Received (All Types),2013,Sep,674700000
Construction Value of Building Applications Received (All Types),2013,Oct,1049700000
Construction Value of Building Applications Received (All Types),2013,Nov,798500000
Construction Value of Building Applications Received (All Types),2013,Dec,948000000
Construction Value of Building Applications Received (All Types),2014,Jan,474100000
Construction Value of Building Applications Received (All Types),2014,Feb,314100000
Construction Value of Building Applications Received (All Types),2014,Mar,506300000
Construction Value of Building Applications Received (All Types),2014,Apr,494300000
Construction Value of Building Applications Received (All Types),2014,May,483200000
Construction Value of Building Applications Received (All Types),2014,Jun,558300000
Construction Value of Building Applications Received (All Types),2014,Jul,525800000
Construction Value of Building Applications Received (All Types),2014,Aug,473400000
Construction Value of Building Applications Received (All Types),2014,Sep,297700000
Construction Value of Building Applications Received (All Types),2014,Oct,651900000
Construction Value of Building Applications Received (All Types),2014,Nov,1285500000
Construction Value of Building Applications Received (All Types),2014,Dec,2447900000
Construction Value of Building Applications Received (All Types),2015,Jan,188000000
Construction Value of Building Applications Received (All Types),2015,Feb,488760000
Construction Value of Building Applications Received (All Types),2015,Mar,501590000
Construction Value of Building Applications Received (All Types),2015,Apr,1030200000
